keys,values,DrugID,DiseaseID
DB00027|MESH:D016908,0.461,DB00027,MESH:D016908
DB00027|MESH:D011183,0.19,DB00027,MESH:D011183
DB00027|MESH:D054058,0.424,DB00027,MESH:D054058
DB00027|MESH:D011655,0.469,DB00027,MESH:D011655
DB00027|MESH:D003967,0.19,DB00027,MESH:D003967
DB00027|MESH:D006947,0.19,DB00027,MESH:D006947
DB00027|MESH:D053159,0.19,DB00027,MESH:D053159
DB00027|MESH:D005885,0.19,DB00027,MESH:D005885
DB00027|MESH:D011629,0.505,DB00027,MESH:D011629
DB00027|MESH:D020275,0.19,DB00027,MESH:D020275
DB00027|MESH:D007249,1.119,DB00027,MESH:D007249
DB00027|MESH:D003556,0.19,DB00027,MESH:D003556
DB00027|MESH:D001943,0.661,DB00027,MESH:D001943
DB00027|MESH:D009325,0.19,DB00027,MESH:D009325
DB00027|MESH:D012594,0.19,DB00027,MESH:D012594
DB00027|MESH:D004409,0.19,DB00027,MESH:D004409
DB00027|MESH:D006408,0.279,DB00027,MESH:D006408
DB00027|MESH:D018908,0.651,DB00027,MESH:D018908
DB00027|MESH:D006932,0.19,DB00027,MESH:D006932
DB00027|MESH:D017202,0.699,DB00027,MESH:D017202
DB00027|MESH:D010243,0.19,DB00027,MESH:D010243
DB00027|MESH:D009203,0.505,DB00027,MESH:D009203
DB00027|MESH:D006970,0.19,DB00027,MESH:D006970
DB00027|MESH:D006212,0.19,DB00027,MESH:D006212
DB00027|MESH:D006402,0.19,DB00027,MESH:D006402
DB00027|MESH:D010900,0.505,DB00027,MESH:D010900
DB00027|MESH:D020434,0.19,DB00027,MESH:D020434
DB00027|MESH:D013203,0.461,DB00027,MESH:D013203
DB00027|MESH:D006966,0.19,DB00027,MESH:D006966
DB00027|MESH:D020246,0.974,DB00027,MESH:D020246
DB00027|MESH:D009214,0.505,DB00027,MESH:D009214
DB00027|MESH:D011141,0.279,DB00027,MESH:D011141
DB00027|MESH:D011657,0.461,DB00027,MESH:D011657
DB00027|MESH:D016470,0.461,DB00027,MESH:D016470
DB00027|MESH:D002543,0.694,DB00027,MESH:D002543
DB00027|MESH:D003919,0.279,DB00027,MESH:D003919
DB00027|MESH:D010146,0.19,DB00027,MESH:D010146
DB00027|MESH:D007889,0.975,DB00027,MESH:D007889
DB00027|MESH:D009361,0.505,DB00027,MESH:D009361
DB00027|MESH:D014605,0.19,DB00027,MESH:D014605
DB00027|MESH:D014985,0.19,DB00027,MESH:D014985
DB00027|MESH:D009157,0.19,DB00027,MESH:D009157
DB00027|MESH:D014594,0.505,DB00027,MESH:D014594
DB00027|MESH:D010019,0.461,DB00027,MESH:D010019
DB00027|MESH:D014456,0.19,DB00027,MESH:D014456
DB00027|MESH:D002544,0.279,DB00027,MESH:D002544
DB00027|MESH:D010291,0.19,DB00027,MESH:D010291
DB00027|MESH:D003072,1.165,DB00027,MESH:D003072
DB00027|MESH:D010051,0.19,DB00027,MESH:D010051
DB00027|MESH:D005886,0.19,DB00027,MESH:D005886
DB00027|MESH:D002780,0.19,DB00027,MESH:D002780
DB00027|MESH:D006983,0.19,DB00027,MESH:D006983
DB00027|MESH:D007410,0.19,DB00027,MESH:D007410
DB00027|MESH:D007680,0.19,DB00027,MESH:D007680
DB00027|MESH:D008569,0.975,DB00027,MESH:D008569
DB00027|MESH:D015275,0.471,DB00027,MESH:D015275
DB00027|MESH:D011529,0.19,DB00027,MESH:D011529
DB00027|MESH:D014839,0.469,DB00027,MESH:D014839
DB00027|MESH:D006261,0.694,DB00027,MESH:D006261
DB00027|MESH:D009102,0.19,DB00027,MESH:D009102
DB00027|MESH:D004751,0.19,DB00027,MESH:D004751
DB00035|MESH:D051436,0.233,DB00035,MESH:D051436
DB00035|MESH:D005891,0.233,DB00035,MESH:D005891
DB00035|MESH:D006311,0.233,DB00035,MESH:D006311
DB00035|MESH:D006977,0.233,DB00035,MESH:D006977
DB00035|MESH:D009140,0.233,DB00035,MESH:D009140
DB00035|MESH:D008107,0.571,DB00035,MESH:D008107
DB00035|MESH:D019214,0.233,DB00035,MESH:D019214
DB00035|MESH:D011023,0.338,DB00035,MESH:D011023
DB00035|MESH:D009503,0.233,DB00035,MESH:D009503
DB00035|MESH:D006628,0.233,DB00035,MESH:D006628
DB00035|MESH:D011471,1.015,DB00035,MESH:D011471
DB00035|MESH:D010148,0.233,DB00035,MESH:D010148
DB00035|MESH:D005483,0.233,DB00035,MESH:D005483
DB00035|MESH:D010292,0.233,DB00035,MESH:D010292
DB00035|MESH:D006457,0.233,DB00035,MESH:D006457
DB00035|MESH:D011697,0.233,DB00035,MESH:D011697
DB00035|MESH:D003865,0.544,DB00035,MESH:D003865
DB00035|MESH:D056987,0.838,DB00035,MESH:D056987
DB00035|MESH:D015866,0.233,DB00035,MESH:D015866
DB00035|MESH:D012769,0.233,DB00035,MESH:D012769
DB00035|MESH:D013927,0.812,DB00035,MESH:D013927
DB00035|MESH:D002561,0.233,DB00035,MESH:D002561
DB00035|MESH:D008796,0.544,DB00035,MESH:D008796
DB00035|MESH:D009220,0.544,DB00035,MESH:D009220
DB00035|MESH:D048909,0.579,DB00035,MESH:D048909
DB00035|MESH:D006526,0.233,DB00035,MESH:D006526
DB00035|MESH:D006073,0.233,DB00035,MESH:D006073
DB00035|MESH:D002114,0.233,DB00035,MESH:D002114
DB00035|MESH:D018149,0.233,DB00035,MESH:D018149
DB00035|MESH:D013262,0.571,DB00035,MESH:D013262
DB00035|MESH:D015427,0.233,DB00035,MESH:D015427
DB00035|MESH:D006505,0.471,DB00035,MESH:D006505
DB00035|MESH:D010899,0.544,DB00035,MESH:D010899
DB00035|MESH:D005334,0.233,DB00035,MESH:D005334
DB00035|MESH:D054038,0.233,DB00035,MESH:D054038
DB00035|MESH:D009135,1.953,DB00035,MESH:D009135
DB00035|MESH:D006949,0.233,DB00035,MESH:D006949
DB00035|MESH:D012516,0.233,DB00035,MESH:D012516
DB00035|MESH:D010523,0.233,DB00035,MESH:D010523
DB00035|MESH:D009468,0.233,DB00035,MESH:D009468
DB00035|MESH:D010392,0.233,DB00035,MESH:D010392
DB00035|OMIM:146850,0.233,DB00035,OMIM:146850
DB00035|MESH:D003328,0.579,DB00035,MESH:D003328
DB00035|MESH:D007022,0.838,DB00035,MESH:D007022
DB00035|MESH:D006965,0.233,DB00035,MESH:D006965
DB00035|MESH:D014202,0.233,DB00035,MESH:D014202
DB00035|MESH:D011230,0.233,DB00035,MESH:D011230
DB00035|MESH:D002471,0.233,DB00035,MESH:D002471
DB00035|MESH:D006463,0.233,DB00035,MESH:D006463
DB00035|MESH:D050500,0.233,DB00035,MESH:D050500
DB00035|MESH:D033461,0.233,DB00035,MESH:D033461
DB00035|MESH:D013086,0.233,DB00035,MESH:D013086
DB00035|MESH:D003693,0.233,DB00035,MESH:D003693
DB00035|MESH:D011507,0.233,DB00035,MESH:D011507
DB00035|MESH:D013226,0.233,DB00035,MESH:D013226
DB00035|MESH:D018366,0.544,DB00035,MESH:D018366
DB00035|MESH:D009404,0.233,DB00035,MESH:D009404
DB00035|MESH:D010195,0.233,DB00035,MESH:D010195
DB00035|MESH:D009437,0.233,DB00035,MESH:D009437
DB00035|MESH:D057772,0.233,DB00035,MESH:D057772
DB00035|MESH:D005158,0.233,DB00035,MESH:D005158
DB00035|MESH:D007674,0.571,DB00035,MESH:D007674
DB00035|MESH:D012008,0.233,DB00035,MESH:D012008
DB00035|MESH:D016920,0.338,DB00035,MESH:D016920
DB00035|MESH:D007172,0.544,DB00035,MESH:D007172
DB00035|MESH:D012772,0.338,DB00035,MESH:D012772
DB00035|MESH:D005923,0.233,DB00035,MESH:D005923
DB00035|MESH:D009069,0.233,DB00035,MESH:D009069
DB00035|MESH:D001928,0.233,DB00035,MESH:D001928
DB00035|MESH:D005355,0.233,DB00035,MESH:D005355
DB00035|MESH:D013923,0.233,DB00035,MESH:D013923
DB00035|MESH:D019575,0.233,DB00035,MESH:D019575
DB00035|MESH:D006086,0.233,DB00035,MESH:D006086
DB00035|MESH:D001919,0.838,DB00035,MESH:D001919
DB00035|MESH:D017114,0.233,DB00035,MESH:D017114
DB00035|MESH:D003093,0.233,DB00035,MESH:D003093
DB00035|MESH:D004195,0.544,DB00035,MESH:D004195
DB00035|MESH:D007968,0.233,DB00035,MESH:D007968
DB00035|MESH:D007511,0.579,DB00035,MESH:D007511
DB00035|MESH:D009422,0.233,DB00035,MESH:D009422
DB00035|MESH:D005221,0.233,DB00035,MESH:D005221
DB00035|MESH:D020258,0.233,DB00035,MESH:D020258
DB00035|MESH:D012206,0.571,DB00035,MESH:D012206
DB00035|MESH:D006504,0.233,DB00035,MESH:D006504
DB00035|MESH:D014652,0.233,DB00035,MESH:D014652
DB00035|MESH:D019586,0.544,DB00035,MESH:D019586
DB00035|MESH:D019584,1.015,DB00035,MESH:D019584
DB00035|MESH:D015431,0.233,DB00035,MESH:D015431
DB00035|MESH:D006417,1.07,DB00035,MESH:D006417
DB00035|MESH:D009336,1.909,DB00035,MESH:D009336
DB00035|MESH:D002375,0.776,DB00035,MESH:D002375
DB00035|MESH:D015228,0.233,DB00035,MESH:D015228
DB00035|MESH:D017379,0.233,DB00035,MESH:D017379
DB00035|MESH:D050171,0.233,DB00035,MESH:D050171
DB00035|MESH:D011704,0.338,DB00035,MESH:D011704
DB00035|MESH:D009402,0.233,DB00035,MESH:D009402
DB00035|MESH:D003638,0.279,DB00035,MESH:D003638
DB00035|MESH:D007683,1.07,DB00035,MESH:D007683
DB00035|MESH:D009395,0.233,DB00035,MESH:D009395
DB00035|MESH:D007638,0.233,DB00035,MESH:D007638
DB00035|MESH:D005076,0.233,DB00035,MESH:D005076
DB00035|MESH:D058186,0.571,DB00035,MESH:D058186
DB00035|MESH:D020141,0.233,DB00035,MESH:D020141
DB00035|MESH:D001927,0.233,DB00035,MESH:D001927
DB00035|MESH:D010378,0.544,DB00035,MESH:D010378
DB00035|MESH:D002779,0.233,DB00035,MESH:D002779
DB00035|MESH:D002769,0.233,DB00035,MESH:D002769
DB00035|MESH:D006501,0.471,DB00035,MESH:D006501
DB00035|MESH:D020212,0.579,DB00035,MESH:D020212
DB00035|MESH:D019694,0.233,DB00035,MESH:D019694
DB00035|MESH:D009765,0.233,DB00035,MESH:D009765
DB00035|MESH:D006937,0.233,DB00035,MESH:D006937
DB00035|MESH:D012170,0.776,DB00035,MESH:D012170
DB00035|MESH:D002294,0.233,DB00035,MESH:D002294
DB00035|MESH:D001930,0.233,DB00035,MESH:D001930
DB00035|MESH:D054218,0.233,DB00035,MESH:D054218
DB00035|MESH:D009101,0.528,DB00035,MESH:D009101
DB00035|MESH:D007239,0.233,DB00035,MESH:D007239
DB00035|MESH:D003920,0.233,DB00035,MESH:D003920
DB00035|MESH:D011297,0.233,DB00035,MESH:D011297
DB00035|MESH:D003354,0.338,DB00035,MESH:D003354
DB00035|MESH:D051437,0.233,DB00035,MESH:D051437
DB00035|MESH:D016769,0.579,DB00035,MESH:D016769
DB00035|MESH:D005128,0.233,DB00035,MESH:D005128
DB00035|MESH:D004832,0.544,DB00035,MESH:D004832
DB00035|MESH:D006470,1.65,DB00035,MESH:D006470
DB00035|MESH:D056486,0.571,DB00035,MESH:D056486
DB00035|MESH:D003866,0.233,DB00035,MESH:D003866
DB00035|MESH:D005234,0.776,DB00035,MESH:D005234
DB00035|MESH:D011041,0.233,DB00035,MESH:D011041
DB00035|MESH:D006319,0.233,DB00035,MESH:D006319
DB00035|MESH:D002494,0.233,DB00035,MESH:D002494
DB00035|MESH:D018487,0.233,DB00035,MESH:D018487
DB00035|MESH:D013281,0.233,DB00035,MESH:D013281
DB00035|MESH:D054198,0.233,DB00035,MESH:D054198
DB00035|MESH:D016553,0.233,DB00035,MESH:D016553
DB00035|MESH:D004715,1.015,DB00035,MESH:D004715
DB00035|MESH:D056784,0.233,DB00035,MESH:D056784
DB00035|MESH:D013375,0.233,DB00035,MESH:D013375
DB00035|MESH:D003221,0.233,DB00035,MESH:D003221
DB00035|MESH:D020230,0.233,DB00035,MESH:D020230
DB00035|MESH:D009202,0.233,DB00035,MESH:D009202
DB00035|MESH:D053099,0.233,DB00035,MESH:D053099
DB00035|MESH:D009397,0.233,DB00035,MESH:D009397
DB00035|MESH:D064420,0.233,DB00035,MESH:D064420
DB00035|MESH:D008664,0.233,DB00035,MESH:D008664
DB00035|MESH:D018879,0.838,DB00035,MESH:D018879
DB00035|MESH:D012735,1.015,DB00035,MESH:D012735
DB00035|MESH:D007154,0.233,DB00035,MESH:D007154
DB00035|MESH:D011565,0.233,DB00035,MESH:D011565
DB00035|MESH:D018771,0.776,DB00035,MESH:D018771
DB00035|MESH:D005767,0.233,DB00035,MESH:D005767
DB00035|MESH:D014890,0.233,DB00035,MESH:D014890
DB00035|MESH:D004697,0.338,DB00035,MESH:D004697
DB00035|MESH:D052016,0.233,DB00035,MESH:D052016
DB00035|MESH:D007673,0.838,DB00035,MESH:D007673
DB00035|MESH:D006331,0.233,DB00035,MESH:D006331
DB00035|MESH:D057049,0.233,DB00035,MESH:D057049
DB00035|MESH:D007319,0.544,DB00035,MESH:D007319
DB00035|MESH:D009410,0.233,DB00035,MESH:D009410
DB00035|MESH:D016908,0.338,DB00035,MESH:D016908
DB00035|MESH:D011183,0.233,DB00035,MESH:D011183
DB00035|MESH:D054058,0.579,DB00035,MESH:D054058
DB00035|MESH:D003967,0.233,DB00035,MESH:D003967
DB00035|MESH:D006947,0.233,DB00035,MESH:D006947
DB00035|MESH:D053159,0.233,DB00035,MESH:D053159
DB00035|MESH:D005885,0.233,DB00035,MESH:D005885
DB00035|MESH:D011629,0.544,DB00035,MESH:D011629
DB00035|MESH:D020275,0.233,DB00035,MESH:D020275
DB00035|MESH:D007249,1.355,DB00035,MESH:D007249
DB00035|MESH:D003556,0.233,DB00035,MESH:D003556
DB00035|MESH:D001943,0.704,DB00035,MESH:D001943
DB00035|MESH:D009325,0.233,DB00035,MESH:D009325
DB00035|MESH:D012594,0.233,DB00035,MESH:D012594
DB00035|MESH:D004409,0.233,DB00035,MESH:D004409
DB00035|MESH:D018908,0.571,DB00035,MESH:D018908
DB00035|MESH:D006932,0.233,DB00035,MESH:D006932
DB00035|MESH:D017202,1.417,DB00035,MESH:D017202
DB00035|MESH:D010243,0.233,DB00035,MESH:D010243
DB00035|MESH:D009203,0.544,DB00035,MESH:D009203
DB00035|MESH:D006970,0.233,DB00035,MESH:D006970
DB00035|MESH:D006212,0.233,DB00035,MESH:D006212
DB00035|MESH:D006402,0.233,DB00035,MESH:D006402
DB00035|MESH:D010900,0.544,DB00035,MESH:D010900
DB00035|MESH:D020434,0.233,DB00035,MESH:D020434
DB00035|MESH:D013203,0.338,DB00035,MESH:D013203
DB00035|MESH:D006966,0.233,DB00035,MESH:D006966
DB00035|MESH:D009214,0.544,DB00035,MESH:D009214
DB00035|MESH:D011657,0.338,DB00035,MESH:D011657
DB00035|MESH:D016470,0.338,DB00035,MESH:D016470
DB00035|MESH:D002543,0.776,DB00035,MESH:D002543
DB00035|MESH:D010146,0.233,DB00035,MESH:D010146
DB00035|MESH:D007889,1.015,DB00035,MESH:D007889
DB00035|MESH:D009361,0.544,DB00035,MESH:D009361
DB00035|MESH:D014605,0.233,DB00035,MESH:D014605
DB00035|MESH:D014985,0.233,DB00035,MESH:D014985
DB00035|MESH:D009157,0.233,DB00035,MESH:D009157
DB00035|MESH:D014594,0.544,DB00035,MESH:D014594
DB00035|MESH:D010019,0.338,DB00035,MESH:D010019
DB00035|MESH:D014456,0.233,DB00035,MESH:D014456
DB00035|MESH:D010291,0.233,DB00035,MESH:D010291
DB00035|MESH:D003072,1.247,DB00035,MESH:D003072
DB00035|MESH:D010051,0.233,DB00035,MESH:D010051
DB00035|MESH:D005886,0.233,DB00035,MESH:D005886
DB00035|MESH:D002780,0.233,DB00035,MESH:D002780
DB00035|MESH:D006983,0.233,DB00035,MESH:D006983
DB00035|MESH:D007410,0.233,DB00035,MESH:D007410
DB00035|MESH:D007680,0.233,DB00035,MESH:D007680
DB00035|MESH:D008569,1.015,DB00035,MESH:D008569
DB00035|MESH:D015275,0.471,DB00035,MESH:D015275
DB00035|MESH:D011529,0.233,DB00035,MESH:D011529
DB00035|MESH:D014717,0.279,DB00035,MESH:D014717
DB00035|MESH:D006261,0.776,DB00035,MESH:D006261
DB00035|MESH:D009102,0.233,DB00035,MESH:D009102
DB00035|MESH:D004751,0.233,DB00035,MESH:D004751
