DrugID,DiseaseID,Drugs
DB00007,MESH:D006311,DB00091
DB00007,MESH:D006319,DB00091
DB00007,MESH:D006331,DB00091
DB00007,MESH:D006402,DB00091
DB00007,MESH:D006417,DB00091
DB00007,MESH:D006457,DB00091
DB00007,MESH:D006463,DB00091
DB00007,MESH:D006504,DB00091
DB00007,MESH:D006526,DB00091
DB00007,MESH:D006628,DB00091
DB00007,MESH:D006932,DB00091
DB00007,MESH:D006937,DB00091
DB00007,MESH:D006947,DB00091
DB00007,MESH:D006949,DB00091
DB00007,MESH:D006965,DB00091
DB00007,MESH:D006966,DB00091
DB00007,MESH:D006970,DB00091
DB00007,MESH:D006973,DB00091
DB00007,MESH:D006977,DB00091
DB00007,MESH:D006983,DB00091
DB00007,MESH:D007154,DB00091
DB00007,MESH:D007239,DB00091
DB00007,MESH:D007410,DB00091
DB00007,MESH:D007638,DB00091
DB00007,MESH:D007674,DB00091
DB00007,MESH:D007680,DB00091
DB00007,MESH:D007683,DB00091
DB00007,MESH:D007968,DB00091
DB00007,MESH:D008107,DB00091
DB00007,MESH:D008664,DB00091
DB00007,MESH:D009069,DB00091
DB00007,MESH:D009102,DB00091
DB00007,MESH:D009140,DB00091
DB00007,MESH:D009157,DB00091
DB00007,MESH:D009202,DB00091
DB00007,MESH:D009325,DB00091
DB00007,MESH:D009336,DB00091
DB00007,MESH:D009395,DB00091
DB00007,MESH:D009397,DB00091
DB00007,MESH:D009402,DB00091
DB00007,MESH:D009404,DB00091
DB00007,MESH:D009410,DB00091
DB00007,MESH:D009422,DB00091
DB00007,MESH:D009437,DB00091
DB00007,MESH:D009468,DB00091
DB00007,MESH:D009503,DB00091
DB00007,MESH:D009765,DB00091
DB00007,MESH:D010051,DB00091
DB00007,MESH:D010146,DB00091
DB00007,MESH:D010148,DB00091
DB00007,MESH:D010195,DB00091
DB00007,MESH:D010243,DB00091
DB00007,MESH:D010291,DB00091
DB00007,MESH:D010292,DB00091
DB00007,MESH:D010392,DB00091
DB00007,MESH:D010523,DB00091
DB00007,MESH:D011041,DB00091
