DiseaseID,number
MESH:D007835,1214
MESH:D007855,1215
MESH:D007859,1216
MESH:D007871,1217
MESH:D007888,1218
MESH:D007889,1219
MESH:D007890,1220
MESH:D007896,1221
MESH:D007897,1222
MESH:D007898,1223
MESH:D007905,1224
MESH:D007906,1225
MESH:D007911,1226
MESH:D007918,1227
MESH:D007925,1228
MESH:D007938,1229
MESH:D007939,1230
MESH:D007941,1231
MESH:D007942,1232
MESH:D007943,1233
MESH:D007945,1234
MESH:D007948,1235
MESH:D007951,1236
MESH:D007952,1237
MESH:D007953,1238
MESH:D007955,1239
MESH:D007960,1240
MESH:D007964,1241
MESH:D007968,1242
MESH:D007969,1243
MESH:D007970,1244
MESH:D007972,1245
MESH:D007973,1246
MESH:D007984,1247
MESH:D008010,1248
MESH:D008047,1249
MESH:D008060,1250
MESH:D008064,1251
MESH:D008067,1252
MESH:D008068,1253
MESH:D008080,1254
MESH:D008088,1255
MESH:D008100,1256
MESH:D008101,1257
MESH:D008103,1258
MESH:D008104,1259
MESH:D008105,1260
MESH:D008106,1261
MESH:D008107,1262
MESH:D008108,1263
MESH:D008109,1264
MESH:D008113,1265
MESH:D008114,1266
MESH:D008118,1267
MESH:D008133,1268
MESH:D008141,1269
MESH:D008171,1270
MESH:D008172,1271
MESH:D008173,1272
MESH:D008175,1273
MESH:D008178,1274
MESH:D008179,1275
MESH:D008180,1276
MESH:D008181,1277
MESH:D008193,1278
MESH:D008199,1279
MESH:D008201,1280
MESH:D008202,1281
MESH:D008206,1282
MESH:D008207,1283
MESH:D008209,1284
MESH:D008210,1285
MESH:D008218,1286
MESH:D008223,1287
MESH:D008224,1288
MESH:D008228,1289
MESH:D008230,1290
MESH:D008231,1291
MESH:D008232,1292
MESH:D008258,1293
MESH:D008260,1294
MESH:D008265,1295
MESH:D008268,1296
MESH:D008269,1297
MESH:D008271,1298
MESH:D008275,1299
MESH:D008286,1300
MESH:D008288,1301
MESH:D008303,1302
MESH:D008305,1303
MESH:D008325,1304
MESH:D008382,1305
MESH:D008413,1306
MESH:D008415,1307
MESH:D008439,1308
MESH:D008444,1309
MESH:D008471,1310
MESH:D008478,1311
MESH:D008480,1312
MESH:D008527,1313
MESH:D008531,1314
MESH:D008538,1315
MESH:D008545,1316
MESH:D008546,1317
MESH:D008548,1318
MESH:D008551,1319
MESH:D008569,1320
MESH:D008575,1321
MESH:D008577,1322
MESH:D008579,1323
MESH:D008580,1324
MESH:D008581,1325
MESH:D008582,1326
MESH:D008583,1327
MESH:D008584,1328
MESH:D008585,1329
MESH:D008586,1330
MESH:D008587,1331
MESH:D008588,1332
MESH:D008589,1333
MESH:D008590,1334
MESH:D008591,1335
MESH:D008595,1336
MESH:D008599,1337
MESH:D008607,1338
MESH:D008630,1339
MESH:D008637,1340
MESH:D008641,1341
MESH:D008654,1342
MESH:D008659,1343
MESH:D008661,1344
MESH:D008664,1345
MESH:D008679,1346
MESH:D008708,1347
MESH:D008796,1348
MESH:D008831,1349
MESH:D008844,1350
MESH:D008850,1351
MESH:D008865,1352
MESH:D008881,1353
MESH:D008924,1354
