DrugID
DB14509
DB00996
DB00740
DB01083
DB00759
DB00819
DB00162
DB00795
DB00982
DB01017
DB01406
DB00997
DB02502
DB00993
DB00480
DB00871
DB14001
DB00370
DB00476
DB00285
DB00968
DB00338
DB00333
DB01233
DB00281
DB01396
DB00390
DB01426
DB06757
DB11588
DB00898
DB00454
DB00305
DB00182
DB01202
DB00949
DB00860
DB01041
DB00915
DB00584
DB01118
DB01136
DB00148
DB11841
DB12200
DB00583
DB00641
DB01181
DB00091
DB00635
DB01080
DB01440
DB00937
DB14206
DB00574
DB00104
DB01586
DB00851
DB00958
DB09130
DB01592
DB03057
DB00358
DB00282
DB01026
DB01115
DB00661
DB00818
DB00252
DB00500
DB00788
DB08889
DB00388
DB00489
DB01393
DB00178
DB00859
DB00945
DB00487
DB00215
DB00699
DB00320
DB00604
DB00335
DB00531
DB00315
DB00343
DB00544
DB01169
DB01556
DB01394
DB00608
DB00313
DB00570
DB00501
DB08621
DB00563
DB13069
DB02709
DB00437
DB00541
DB00291
DB01008
DB01109
DB00682
DB00413
DB01110
DB00582
DB01167
DB00681
DB00196
DB01604
DB00242
DB01373
DB00300
DB01601
DB00900
DB02901
DB04743
DB13765
DB09140
DB00907
DB00620
DB01217
DB00624
DB00794
DB08895
DB01200
DB00381
DB00264
DB01119
DB00515
DB00594
DB00479
DB00314
DB00864
DB00653
DB00448
DB14513
DB14500
DB00695
DB06724
DB01436
DB01223
DB00201
DB00755
DB03843
DB09010
DB00675
DB00973
DB04183
DB05383
DB01042
DB00202
DB01226
DB01011
DB00741
DB00495
DB01219
DB01235
DB00591
DB00121
DB00153
DB00829
DB00428
DB01229
DB00290
DB00773
DB00157
DB00843
DB00126
DB00529
DB00459
DB00959
DB00722
DB05311
DB00668
DB01593
DB04815
DB00389
DB00977
DB00717
DB00763
DB01103
DB00943
DB02745
DB00115
DB00974
DB11203
DB15289
DB02509
DB01159
DB04539
DB01234
DB00026
DB00631
DB00439
DB11132
DB00888
DB00394
DB14487
DB00994
DB01172
DB09073
DB06774
DB08828
DB00550
DB14574
DB01759
DB01582
DB05382
DB06150
DB00398
DB01174
DB00951
DB00605
DB01676
DB06732
DB12179
DB00730
DB13721
DB11128
DB01168
DB00307
DB00347
DB01033
DB00158
DB11421
DB08604
DB04572
DB02806
DB00523
DB11155
DB09256
DB13182
DB13424
DB01914
DB09536
DB00400
DB12224
DB00811
DB14085
DB00564
DB01645
DB00205
DB00267
DB00617
DB01577
DB00987
DB14144
DB00694
DB11135
DB00321
DB11458
DB00783
DB00438
DB04557
DB00554
DB00715
DB11326
DB01156
DB00316
DB01413
DB13682
DB00688
DB00502
DB01388
DB13323
DB00184
DB00493
DB09061
DB13504
DB00904
DB08846
DB00279
DB00926
DB14177
DB14084
DB01005
DB13716
DB00470
DB01050
DB01242
DB04216
DB09350
DB00255
DB00698
DB00475
DB00468
DB00916
DB00433
DB03604
DB12521
DB01092
DB00481
DB00929
DB12537
DB06710
DB08878
DB00295
DB03940
DB04827
DB01783
DB02249
DB00928
DB00822
DB02365
DB13245
DB14212
DB13336
DB00586
DB01097
DB00514
DB00619
DB09131
DB07778
DB00834
DB12708
DB04657
DB06754
DB00917
DB11397
DB00331
DB00787
DB00203
DB00378
DB00396
DB00684
DB00477
DB00578
DB00607
DB00415
DB00537
DB00355
DB09121
DB00080
DB09117
DB03783
DB00798
DB00274
DB01069
DB00322
DB01603
DB00456
DB00921
DB00512
DB01212
DB00601
DB11105
DB00815
DB11094
DB01536
DB01370
DB08839
DB03054
DB11457
DB01076
DB09270
DB08882
DB11672
DB01064
DB12510
DB01112
DB00166
DB00602
DB00435
DB12025
DB00960
DB11695
DB09321
DB05767
DB02520
DB00746
DB06782
DB00566
DB05294
DB00571
DB00361
DB08865
DB00530
DB00317
DB00277
DB00780
DB00642
DB01248
DB11875
DB14183
DB11740
DB00650
DB01590
DB00283
DB01098
DB00309
DB00779
DB01390
DB00627
DB06767
DB01053
DB00224
DB00297
DB00887
DB09154
DB09322
DB00883
DB00841
DB00521
DB00292
DB00165
DB01362
DB01085
DB00186
DB00503
DB00197
DB00599
DB00975
DB00761
DB00867
DB01839
DB00171
DB00649
DB01356
DB03066
DB13366
DB01001
DB00863
DB01236
DB00443
DB08957
DB14083
DB00152
DB00244
DB01213
DB00703
DB00573
DB00543
DB00373
DB01016
DB00363
DB09395
DB00625
DB00914
DB00709
DB00238
DB12765
DB01035
DB01099
DB00273
DB00421
DB01028
DB00369
DB08804
DB06718
DB01183
DB06412
DB00652
DB01541
DB06778
DB00802
DB00813
DB00319
DB00294
DB00254
DB00744
DB00210
DB04839
DB01190
DB00548
DB00250
DB04836
DB13083
DB09123
DB00595
DB00199
DB00367
DB13981
DB09096
DB00957
DB01082
DB00540
DB01113
DB00615
DB00738
DB00847
DB00853
DB11590
DB06791
DB00350
DB01065
